Unnamed: 0,Gu,Dong,Name,Date,Price,Area,Floor,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption,major,Building Year,Longitude,Latitude
3851,강동구,상일동,고덕아르테온,20240101,117500,59.98,10,강동구 상일동 0519-0000,2024,202401,3.5,54,51047,0.148666915,0.127294454,0.200129293,0.394303289,0.129606049,6.780687751,0,4,127.1643531,37.5555516
3850,도봉구,쌍문동,e편한세상,20240101,61000,84.98,1,도봉구 쌍문동 0731-0000,2024,202401,3.5,54,72947,0.0644440484,0.109079195,0.209741319,0.408419812,0.208315626,5.796132824,2,17,127.0272654,37.6498052
3849,송파구,가락동,래미안파크팰리스,20240101,149000,84.89,5,송파구 가락동 0165-0000,2024,202401,3.5,54,83807,0.105349195,0.109799897,0.252592266,0.390194137,0.142064505,7.869572646,2,17,127.1321115,37.4981978
3848,구로구,개봉동,한진,20240101,58000,84.96,11,구로구 개봉동 0478-0000,2024,202401,3.5,54,82340,0.0725649745,0.096478018,0.216383289,0.401797425,0.212776293,7.212296533,0,24,126.8519375,37.4846808
3847,강북구,미아동,삼성래미안트리베라2단지,20240101,80000,84.29,19,강북구 미아동 0812-0000,2024,202401,3.5,54,127024,0.0665307343,0.114088676,0.200780955,0.414779884,0.203811878,5.830852328,2,14,127.0204065,37.6173204
3846,은평구,진관동,박석고개1단지힐스테이트(116~131동)BL2-1,20240101,97000,84.72,13,은평구 진관동 0102-0000,2024,202401,3.5,54,54273,0.0956829363,0.154330883,0.18922853,0.404271,0.156468226,6.133962743,2,15,126.9223122,37.6330495
3845,송파구,가락동,"가락3차쌍용스윗닷홈101동,102동",20240101,100000,59.94,11,송파구 가락동 0053-0000,2024,202401,3.5,54,83807,0.105349195,0.109799897,0.252592266,0.390194137,0.142064505,7.869572646,0,19,127.1234798,37.4977168
3844,금천구,시흥동,벽산,20240102,37800,59.94,7,금천구 시흥동 1010-0000,2024,202401,3.5,54,100325,0.0631248443,0.0995265388,0.210326439,0.413286818,0.213725393,7.518663296,0,24,126.9189102,37.45157
3843,노원구,상계동,보람아파트,20240102,35500,44.33,6,노원구 상계동 0639-0000,2024,202401,3.5,54,197373,0.0755675802,0.116272236,0.217324558,0.406073779,0.184761847,6.329893618,0,36,127.0649674,37.6661848
3842,도봉구,창동,동아,20240102,72500,88.23,6,도봉구 창동 0026-0000,2024,202401,3.5,54,115486,0.0690126942,0.112230054,0.216701592,0.411114767,0.190932234,5.796132824,0,36,127.0503611,37.6512719
